generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.Max_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.Min_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.ParetoMean_pareto,
64,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
65,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
66,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
67,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
68,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
69,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
70,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
71,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
72,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
73,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
74,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
75,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
76,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
77,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
78,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
79,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
80,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
81,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
82,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
83,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
84,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
85,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
86,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
87,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
88,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
89,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
90,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
91,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
92,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
93,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
94,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
95,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
96,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
97,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
98,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
99,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
